id,name,category_id,description,is_active,subcategory_id,marca,package_size,segment,timac_points
94fef025-4f91-4f40-b521-e8e44e5a0676,ACTIVMAN - FOSFITO MANGANES - 5LTS,cat-especialidades,AGRICHEM,t,,AGRICHEM,5.00,,0.00
58762fe6-7b30-4e3d-9e70-6ae895944671,CRONNOS - PICOX. + TEBU. + MACONZ. - 20LTS,cat-fertilizantes,ADAMA,t,,ADAMA,20.00,,0.00
8adb91b8-973e-424b-b79a-7b498af0a840,RIZOSPRAY EXTREMO - 5 LTS,cat-especialidades,RIZOBACTER,t,,RIZOBACTER,5.00,,0.00
ff4564d0-df57-4bc3-9f61-6d691b3dd3bf,U10 - INQUIMA - 1 L,cat-especialidades,INQUIMA,t,,INQUIMA,1.00,,0.00
14366256-3dfd-42fe-8806-0f08cfae9106,FERT 20-00-20 FERTIPAR - BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
1d83ca6a-a994-4bc9-81a7-fc121ba58394,FERT 00-00-60 - MOSAIC - BB,cat-fertilizantes,MOSAIC,t,,MOSAIC,,,0.00
7a433be0-dbd4-4ce0-b4e8-cde2c4366793,FERT 02-20-20 - FERTIPAR - BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
66ff0250-b1ec-4d4b-a17d-59dbef0bb13d,CORAZA - LAMBDACIALOTRINA 25% - 5LTS,cat-agroquimicos,CHDS,t,sub-tratamento-sementes,CHDS,5.00,ts,0.00
5006cb5a-6224-40d9-a35b-65639fad768a,YUNTA FS246 - 5 LTS,cat-agroquimicos,BAYER,t,sub-tratamento-sementes,BAYER,5.00,ts,0.00
2b5f5c55-3fde-43e6-a439-d0a657b6b502,"DERMACOR - CLORANTRANILIPROLE 62,5% - 1L",cat-agroquimicos,CORTEVA,t,sub-tratamento-sementes,CORTEVA,1.00,ts,0.00
54c822a8-6c6b-4835-8839-80551929e04c,HUSSAR EVOLUTION EC 96 - 5 LTS,cat-agroquimicos,BAYER,t,sub-tratamento-sementes,BAYER,5.00,ts,0.00
6d866fda-0c07-429a-b9d5-56dac721cebe,EXPEDITION - SULFOXAFLOR 10% + LAMBDA. 15% - 5LTS,cat-agroquimicos,CORTEVA,t,sub-tratamento-sementes,CORTEVA,5.00,ts,0.00
d28e4d02-2e8b-4044-8db0-cf0fcfac9758,"TECNUP PREMIUM 2 - GLIFOSATO 60,8% - 20LTS",cat-agroquimicos,TECNOMYL,t,sub-dessecacao,TECNOMYL,20.00,herbicida,0.00
ced52ca2-cf12-43f5-9eb2-a08536989238,"2,4 D AMINA TM - 2,4D AMINA 72% - 20LTS",cat-agroquimicos,TECNOMYL,t,sub-dessecacao,TECNOMYL,20.00,herbicida,0.00
0a1dd5c1-202f-481a-b591-0331a24e40a3,CLOMAGROP 48 - CLOMAZONE 48% - 20LTS,cat-agroquimicos,,t,sub-dessecacao,,,herbicida,0.00
0f7b1dd5-b056-4636-a0a7-d3ceec41aa24,FLUMITOP 48 SC FLUMIOXAZIM 48% 5 LTS,cat-agroquimicos,,t,sub-dessecacao,,,herbicida,0.00
3cca9087-dfff-4463-a9eb-68d574b46e5e,PARAGROP 24 - PARAQUAT 24% - 20LTS,cat-agroquimicos,CIAGROPA,t,sub-dessecacao,CIAGROPA,20.00,herbicida,0.00
67a734ca-f12c-416c-a3f8-4f7434db90f3,FERT TOP PHOS BASE - TIMAC - BB,cat-fertilizantes,TIMAC,t,,TIMAC,,,0.00
881fbd04-bea0-4542-86da-442e622acbf0,FERT 08-40-08 TME - YARA - BB - KG,cat-fertilizantes,YARA FERTILIZANTES,t,,YARA FERTILIZANTES,,,0.00
b3e48baa-c384-4414-a421-8af3a430ea2d,FERT 20-00-00 - FERTIPAR - BB - KG,cat-fertilizantes,FERTIPAR FERTILIZANTES,t,,FERTIPAR FERTILIZANTES,,,0.00
4beaeebe-c6eb-4e5f-b6b3-72edea1d7f09,FASCINATE 40 SL- GLUFOSINATO - 20LTS,cat-agroquimicos,UPL,t,sub-dessecacao,UPL,20.00,herbicida,0.00
