id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
928d8889-4152-45b3-9420-86af64a11ce1,4f752ce4-b8f4-42a5-98a9-17a335304d6f,4a67f5ce-2690-42a6-aca6-6c0227296455,,,,0.00,t,t,2025-10-08 16:19:13.404675,,f
ec296476-ff33-4a6d-9801-daf13d9f95d7,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,6ecb63cd-717d-4741-b17d-5219c2aff5a2,,,,0.00,f,t,2025-10-09 14:03:46.611708,,f
5c4dc794-22e5-4f1f-a93a-588b80f658c9,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,09379062-e344-495c-b3df-fe59cd569901,,,,0.00,f,t,2025-10-09 14:03:46.791325,,f
2a8eb3b7-fa8a-486e-a8df-e2c8e8ff9b80,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,05f96544-ecbe-49cc-8fbd-c5bc1f478121,,,,0.00,f,t,2025-10-09 14:03:46.971667,,f
fcaf3174-3862-4e7d-9c4f-800229ae152b,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,ecd0c6ec-5383-443b-8903-23112376bdf3,,,,0.00,f,t,2025-10-09 14:03:47.328557,,f
cb2332c4-c5bb-4d0c-b913-27b41d5bdeaa,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,d43f7c22-50c0-4ee8-bcc3-097d1fe26af8,,,,0.00,f,t,2025-10-09 14:03:47.683045,,f
2b6b692f-59f8-4a61-bbc7-1f6dfd6a4aea,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,8b26be9a-bde5-4aa4-a80a-596248f9b97e,,,,0.00,f,t,2025-10-09 14:03:47.920302,,f
6c6b301b-bb94-4634-9a8d-50bdfc86859b,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,8f812ac4-ca67-4b17-a42d-3b24671f7f2b,,,,0.00,f,t,2025-10-09 14:03:48.276153,,f
15cd2adb-a31e-41b2-8c38-96e5147727e2,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,ff47c4ab-ce50-48e6-be67-1f9fa18c4cd8,,,,0.00,f,t,2025-10-09 14:03:49.03996,,f
c0ea2521-7a0f-4b48-bbd9-ca9ec35e2f7e,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,eceda4b4-3b68-4fb9-bb0d-3a48a61e0474,,,,0.00,f,t,2025-10-09 14:03:49.990531,,f
52aafd92-05f0-4f6c-9fa0-10e40032e6b7,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,8d506138-57ae-4cbf-afd3-c3d624bde3cb,,,,0.00,f,t,2025-10-09 14:03:50.167848,,f
b50780ba-864d-46cc-8221-f6e4191636f8,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,6e383453-ab0d-4c4b-ae26-9818b932a7b9,,,,0.00,f,t,2025-10-09 14:03:50.344641,,f
1ad4c6ec-e5af-466a-bfcd-3f7dd5a413af,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,9914c9de-1f52-467d-8fa6-45dd7eab00f9,,,,0.00,f,t,2025-10-09 14:03:50.817218,,f
e4821c0f-f345-408b-bfc6-b46732d2540f,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,92ef9f65-df02-49cd-b543-26250f5511b4,,,,0.00,f,t,2025-10-09 14:03:50.993916,,f
f1062a6a-4143-41e7-8edb-631e005e188b,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,22227844-7ed8-4ba0-8daf-2b2f9b068ccb,,,,0.00,f,t,2025-10-09 14:03:51.172015,,f
197b922a-af42-40e2-8934-c7945edad931,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,61583f00-d485-4ea9-9076-f6c7a7dd0432,,,,0.00,f,t,2025-10-09 14:03:51.523364,,f
01450df3-faf5-4d17-b26e-9f664ad38c13,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,3f8d6666-a6bb-4583-9ca6-bda8eb3ae3df,,,,0.00,f,t,2025-10-09 14:03:52.227942,,f
6b86e206-0017-4884-a6fe-eee448b4f45d,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,7d88ddd3-6ed2-4bbf-8a01-975320e1230f,,,,0.00,f,t,2025-10-09 14:09:28.106915,,f
20d015c2-d9f3-4144-ae11-fdaa9b32c51c,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,219a1e17-cf55-4a08-bd4b-a65fd9430276,,,,0.00,f,t,2025-10-09 14:09:37.303806,,f
02f21dd4-d94b-4ce1-8588-a4deaec90b50,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,2bbf641e-0aa6-4801-a07d-73d19fa7ea6e,,,,0.00,f,t,2025-10-09 14:09:40.022321,,f
01c4a2c1-11fe-4efd-9f86-eb2bfcc2cf2a,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,591b0dfc-8187-4550-8126-d6c96fa04c90,,,,0.00,f,t,2025-10-09 14:09:42.956979,,f
c822f9b3-3789-43e5-8cc6-c084acbe7bc8,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,3c0a703f-6d6a-4706-ba62-b0279065156c,,,,0.00,t,t,2025-10-09 14:03:52.401983,,f
73857a3b-1ebc-48bd-8399-3e59fedee2db,5d7ef4d3-5a00-4251-b5e2-7c8fbfab3699,f3934aed-32bc-4460-b591-b484c9b8a353,,,,0.00,t,t,2025-10-09 14:03:48.453962,,f
